nit_proveedor,contacto,telefono,email,Nombre_Empresa,Ciudad
900111,Carlos Perez,3005551122.0,carlos@coop.com,CoopCafe,Bogota
800222,Departamento de Ventas,3114445566.0,contacto@empresa.com,Insumos Panaderos,Medellin
700333,Ana Rojas,No Registra,ana@prado.com,Lacteos El Prado,Cali
600444,Luis Gomez,3208889900.0,luis@sabana.com,Distribuidora Sabana,Chia
500555,Departamento de Ventas,3157778899.0,contacto@empresa.com,Salsas y Especias,Bogota
400666,Marta Diaz,3001112233.0,marta@empaques.com,Empaques de Carton,Barranquilla
300777,Departamento de Ventas,No Registra,ventas@granos.com,Granos y Cereales,Bucaramanga
200888,Jorge Silva,3109998877.0,contacto@empresa.com,Bebidas Refrescantes,Bogota
100999,Elena Castro,3204445566.0,elena@dulces.com,Dulces y Postres,Medellin
999000,Departamento de Ventas,3112223344.0,frutas@cali.com,Frutas Frescas,Cali
