id_proveedor,nombre_ubicacion,contacto_nombre,telefono,email
900111,CoopCafe - Bogota,Carlos Perez,3005551122,carlos@coop.com
789000,Insumos Panaderos - Medellin,NaN,3114445566,
677889,Lacteos El Prado - Cali,Ana Rojas,NaN,ana@prado.com
566778,Distribuidora Sabana - Chia,Luis Gomez,3208889900,luis@sabana.com
455667,Salsas y Especias - Bogota,NaN,3157778899,
344556,Empaques de Carton - Barranquilla,Marta Diaz,3001112233,marta@empaques.com
233445,Granos y Cereales - Bucaramanga,NaN,NaN,ventas@granos.com
122334,Bebidas Refrescantes - Bogota,Jorge Silva,3109998877,
11223,Dulces y Postres - Medellin,Elena Castro,3204445566,elena@dulces.com
-99888,Frutas Frescas - Cali,NaN,3112223344,frutas@cali.com
